Paper,Figure,Species,Time,Individuals,Treatment
Gause_1931_AmN,1,Tribolium confusum,8,30,16
Gause_1931_AmN,1,Tribolium confusum,28,218,16
Gause_1931_AmN,1,Tribolium confusum,40,235,16
Gause_1931_AmN,1,Tribolium confusum,63,533,16
Gause_1931_AmN,1,Tribolium confusum,78,550,16
Gause_1931_AmN,1,Tribolium confusum,97,664,16
Gause_1931_AmN,1,Tribolium confusum,116,606,16
Gause_1931_AmN,1,Tribolium confusum,134,698,16
Gause_1931_AmN,1,Tribolium confusum,153,632,16
Gause_1931_AmN,1,Tribolium confusum,8,22,64
Gause_1931_AmN,1,Tribolium confusum,28,205,64
Gause_1931_AmN,1,Tribolium confusum,40,310,64
Gause_1931_AmN,1,Tribolium confusum,63,1138,64
Gause_1931_AmN,1,Tribolium confusum,78,1274,64
Gause_1931_AmN,1,Tribolium confusum,97,1791,64
Gause_1931_AmN,1,Tribolium confusum,116,1606,64
Gause_1931_AmN,1,Tribolium confusum,134,1903,64
Gause_1931_AmN,1,Tribolium confusum,153,1543,64
