Paper,Table,Experiment,Species,Time,Volume,Treatment
Gause_1932_QR,5,1,Saccharomyces cerevisiae,132.0,0.7,5.7
Gause_1932_QR,5,1,Saccharomyces cerevisiae,228.0,1.79,5.7
Gause_1932_QR,5,1,Saccharomyces cerevisiae,324.0,2.43,5.7
Gause_1932_QR,5,1,Saccharomyces cerevisiae,444.0,2.71,5.7
Gause_1932_QR,5,1,Saccharomyces cerevisiae,516.0,3.16,5.7
Gause_1932_QR,5,1,Saccharomyces cerevisiae,636.0,3.02,5.7
Gause_1932_QR,5,1,Saccharomyces cerevisiae,756.0,3.23,5.7
Gause_1932_QR,5,1,Saccharomyces cerevisiae,852.0,3.28,5.7
Gause_1932_QR,5,1,Saccharomyces cerevisiae,22.0,0.9,15.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,37.0,2.9,15.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,59.0,4.6,15.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,72.0,7.3,15.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,84.0,6.9,15.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,95.0,10.0,15.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,110.0,8.75,15.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,116.0,7.85,15.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,135.0,8.3,15.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,156.0,8.4,15.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,8.0,0.8,28.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,13.5,2.95,28.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,17.5,3.5,28.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,24.5,7.5,28.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,30.5,9.5,28.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,37.0,9.1,28.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,42.0,11.3,28.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,59.0,10.9,28.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,66.0,10.7,28.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,8.0,0.9,39.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,13.5,2.5,39.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,17.5,2.23,39.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,21.5,3.07,39.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,24.5,2.43,39.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,30.5,3.1,39.0
Gause_1932_QR,5,1,Saccharomyces cerevisiae,37.0,3.17,39.0
Gause_1932_QR,5,2,Saccharomyces cerevisiae,96.0,0.23,5.7
Gause_1932_QR,5,2,Saccharomyces cerevisiae,192.0,0.5,5.7
Gause_1932_QR,5,2,Saccharomyces cerevisiae,312.0,1.82,5.7
Gause_1932_QR,5,2,Saccharomyces cerevisiae,384.0,2.09,5.7
Gause_1932_QR,5,2,Saccharomyces cerevisiae,516.0,3.05,5.7
