Paper,Table,Experiment,Species,Time,Volume_Species,Squares,Individuals_Square,Volume_Total,Treatment
gause_1934_book_app,1,1,Saccharomyces cerevisiae,6.0,0.37,50,6.24,0.37,Monoculture
gause_1934_book_app,1,1,Saccharomyces cerevisiae,16.0,8.87,60,174.2,8.87,Monoculture
gause_1934_book_app,1,1,Saccharomyces cerevisiae,24.0,10.66,50,166.7,10.66,Monoculture
gause_1934_book_app,1,1,Saccharomyces cerevisiae,29.0,12.5,50,219.2,12.5,Monoculture
gause_1934_book_app,1,1,Saccharomyces cerevisiae,40.0,13.27,50,202.0,13.27,Monoculture
gause_1934_book_app,1,1,Saccharomyces cerevisiae,48.0,12.87,50,188.6,12.87,Monoculture
gause_1934_book_app,1,1,Saccharomyces cerevisiae,53.0,12.7,,,12.7,Monoculture
gause_1934_book_app,1,2,Saccharomyces cerevisiae,7.5,1.63,60,25.72,1.63,Monoculture
gause_1934_book_app,1,2,Saccharomyces cerevisiae,15.0,6.2,60,99.75,6.2,Monoculture
gause_1934_book_app,1,2,Saccharomyces cerevisiae,24.0,10.97,60,203.5,10.97,Monoculture
gause_1934_book_app,1,2,Saccharomyces cerevisiae,31.5,12.6,60,243.6,12.6,Monoculture
gause_1934_book_app,1,2,Saccharomyces cerevisiae,33.0,12.9,60,244.7,12.9,Monoculture
gause_1934_book_app,1,2,Saccharomyces cerevisiae,44.0,12.77,60,248.6,12.77,Monoculture
gause_1934_book_app,1,2,Saccharomyces cerevisiae,51.5,12.9,60,223.0,12.9,Monoculture
gause_1934_book_app,1,1,Schizosaccharomyces kephir,6.0,,,,,Monoculture
gause_1934_book_app,1,1,Schizosaccharomyces kephir,16.0,1.0,50,61.35,1.0,Monoculture
gause_1934_book_app,1,1,Schizosaccharomyces kephir,24.0,,,,,Monoculture
gause_1934_book_app,1,1,Schizosaccharomyces kephir,29.0,1.7,50,88.7,1.7,Monoculture
gause_1934_book_app,1,1,Schizosaccharomyces kephir,40.0,,,,,Monoculture
gause_1934_book_app,1,1,Schizosaccharomyces kephir,48.0,2.73,50,162.6,2.73,Monoculture
gause_1934_book_app,1,1,Schizosaccharomyces kephir,53.0,,,,,Monoculture
gause_1934_book_app,1,1,Schizosaccharomyces kephir,72.0,4.87,,,4.87,Monoculture
gause_1934_book_app,1,1,Schizosaccharomyces kephir,93.0,5.67,,,5.67,Monoculture
gause_1934_book_app,1,1,Schizosaccharomyces kephir,117.0,5.8,,,5.8,Monoculture
gause_1934_book_app,1,1,Schizosaccharomyces kephir,141.0,5.83,,,5.83,Monoculture
gause_1934_book_app,1,2,Schizosaccharomyces kephir,7.5,,,,,Monoculture
gause_1934_book_app,1,2,Schizosaccharomyces kephir,15.0,1.27,60,61.41,1.27,Monoculture
gause_1934_book_app,1,2,Schizosaccharomyces kephir,24.0,,,,,Monoculture
gause_1934_book_app,1,2,Schizosaccharomyces kephir,31.5,2.33,60,126.3,2.33,Monoculture
gause_1934_book_app,1,2,Schizosaccharomyces kephir,33.0,,,,,Monoculture
gause_1934_book_app,1,2,Schizosaccharomyces kephir,44.0,,,,,Monoculture
gause_1934_book_app,1,2,Schizosaccharomyces kephir,51.5,4.56,60,272.0,4.56,Monoculture
gause_1934_book_app,1,1,Saccharomyces cerevisiae,6.0,0.38,50,6.22,0.5,Mixture
gause_1934_book_app,1,1,Saccharomyces cerevisiae,16.0,3.99,60,66.2,6.83,Mixture
gause_1934_book_app,1,1,Saccharomyces cerevisiae,24.0,4.69,50,77.8,8.66,Mixture
gause_1934_book_app,1,1,Saccharomyces cerevisiae,29.0,6.15,50,102.4,9.07,Mixture
gause_1934_book_app,1,1,Saccharomyces cerevisiae,40.0,,,,,Mixture
gause_1934_book_app,1,1,Saccharomyces cerevisiae,48.0,7.27,50,120.7,0.23,Mixture
gause_1934_book_app,1,1,Saccharomyces cerevisiae,53.0,8.3,50,137.6,0.5,Mixture
gause_1934_book_app,1,2,Saccharomyces cerevisiae,7.5,0.923,60,16.54,1.33,Mixture
gause_1934_book_app,1,2,Saccharomyces cerevisiae,15.0,3.0,60,55.2,4.8,Mixture
gause_1934_book_app,1,2,Saccharomyces cerevisiae,24.0,5.78,60,103.5,8.57,Mixture
gause_1934_book_app,1,2,Saccharomyces cerevisiae,31.5,9.91,60,177.6,11.17,Mixture
gause_1934_book_app,1,2,Saccharomyces cerevisiae,33.0,9.47,60,169.6,10.8,Mixture
gause_1934_book_app,1,2,Saccharomyces cerevisiae,44.0,10.57,60,189.3,11.47,Mixture
gause_1934_book_app,1,2,Saccharomyces cerevisiae,51.5,10.0,60,177.1,10.8,Mixture
gause_1934_book_app,1,1,Schizosaccharomyces kephir,6.0,0.28,50,16.82,0.5,Mixture
gause_1934_book_app,1,1,Schizosaccharomyces kephir,16.0,0.98,60,56.4,6.83,Mixture
gause_1934_book_app,1,1,Schizosaccharomyces kephir,24.0,1.47,50,84.8,8.66,Mixture
gause_1934_book_app,1,1,Schizosaccharomyces kephir,29.0,1.46,50,84.2,9.07,Mixture
gause_1934_book_app,1,1,Schizosaccharomyces kephir,40.0,,,,,Mixture
gause_1934_book_app,1,1,Schizosaccharomyces kephir,48.0,1.71,50,98.9,0.23,Mixture
gause_1934_book_app,1,1,Schizosaccharomyces kephir,53.0,1.84,50,188.6,0.5,Mixture
gause_1934_book_app,1,2,Schizosaccharomyces kephir,7.5,0.371,60,20.06,1.33,Mixture
gause_1934_book_app,1,2,Schizosaccharomyces kephir,15.0,0.63,60,34.08,4.8,Mixture
gause_1934_book_app,1,2,Schizosaccharomyces kephir,24.0,1.22,60,65.9,8.57,Mixture
gause_1934_book_app,1,2,Schizosaccharomyces kephir,31.5,1.0,60,60.1,11.17,Mixture
gause_1934_book_app,1,2,Schizosaccharomyces kephir,33.0,1.0,60,66.2,10.8,Mixture
gause_1934_book_app,1,2,Schizosaccharomyces kephir,44.0,1.0,60,59.5,11.47,Mixture
gause_1934_book_app,1,2,Schizosaccharomyces kephir,51.5,0.961,60,51.8,10.8,Mixture
