Paper,Table,Species,Time,Alcohol,Alcohol.Yeast_Volume,Treatment
Gause_book_1934,A2,Saccharomyces cerevisiae,19.0,1.04,0.201,Anaerobic 
Gause_book_1934,A2,Saccharomyces cerevisiae,15.5,0.45,0.269,Anaerobic 
Gause_book_1934,A2,Saccharomyces cerevisiae,24.5,1.37,0.264,Anaerobic 
Gause_book_1934,A2,Saccharomyces cerevisiae,19.0,,,Anaerobic 
Gause_book_1934,A2,Saccharomyces cerevisiae,19.0,1.97,0.225,Aerobic
Gause_book_1934,A2,Saccharomyces cerevisiae,15.5,1.23,0.167,Aerobic
Gause_book_1934,A2,Saccharomyces cerevisiae,24.5,1.93,0.225,Aerobic
Gause_book_1934,A2,Saccharomyces cerevisiae,19.0,2.05,0.211,Aerobic
Gause_book_1934,A2,Schizosaccharomyces kephir,19.0,,,Anaerobic 
Gause_book_1934,A2,Schizosaccharomyces kephir,32.0,0.51,0.49,Anaerobic 
Gause_book_1934,A2,Schizosaccharomyces kephir,53.0,0.72,0.487,Anaerobic 
Gause_book_1934,A2,Schizosaccharomyces kephir,69.0,0.82,0.482,Anaerobic 
Gause_book_1934,A2,Schizosaccharomyces kephir,15.5,,,Anaerobic 
Gause_book_1934,A2,Schizosaccharomyces kephir,34.0,0.58,0.523,Anaerobic 
Gause_book_1934,A2,Schizosaccharomyces kephir,34.0,0.51,0.51,Anaerobic 
Gause_book_1934,A2,Schizosaccharomyces kephir,53.5,0.93,0.547,Anaerobic 
Gause_book_1934,A2,Schizosaccharomyces kephir,53.5,0.78,0.497,Anaerobic 
Gause_book_1934,A2,Schizosaccharomyces kephir,70.5,1.03,0.545,Anaerobic 
Gause_book_1934,A2,Schizosaccharomyces kephir,19.0,1.28,0.267,Aerobic
Gause_book_1934,A2,Schizosaccharomyces kephir,32.0,1.89,0.278,Aerobic
Gause_book_1934,A2,Schizosaccharomyces kephir,53.0,,,Aerobic
Gause_book_1934,A2,Schizosaccharomyces kephir,69.0,,,Aerobic
Gause_book_1934,A2,Schizosaccharomyces kephir,15.5,0.81,0.176,Aerobic
Gause_book_1934,A2,Schizosaccharomyces kephir,34.0,1.78,0.291,Aerobic
Gause_book_1934,A2,Schizosaccharomyces kephir,34.0,1.86,0.305,Aerobic
Gause_book_1934,A2,Schizosaccharomyces kephir,53.5,1.56,0.231,Aerobic
Gause_book_1934,A2,Schizosaccharomyces kephir,53.5,,,Aerobic
Gause_book_1934,A2,Schizosaccharomyces kephir,70.5,,,Aerobic
