Paper,Table,Species,Time,Individuals,Treatment
Gause_book_1934,A3,Paramecium aurelia,0,2,Monoculture
Gause_book_1934,A3,Paramecium aurelia,1,,Monoculture
Gause_book_1934,A3,Paramecium aurelia,2,14,Monoculture
Gause_book_1934,A3,Paramecium aurelia,3,34,Monoculture
Gause_book_1934,A3,Paramecium aurelia,4,56,Monoculture
Gause_book_1934,A3,Paramecium aurelia,5,94,Monoculture
Gause_book_1934,A3,Paramecium aurelia,6,189,Monoculture
Gause_book_1934,A3,Paramecium aurelia,7,266,Monoculture
Gause_book_1934,A3,Paramecium aurelia,8,330,Monoculture
Gause_book_1934,A3,Paramecium aurelia,9,416,Monoculture
Gause_book_1934,A3,Paramecium aurelia,10,507,Monoculture
Gause_book_1934,A3,Paramecium aurelia,11,580,Monoculture
Gause_book_1934,A3,Paramecium aurelia,12,610,Monoculture
Gause_book_1934,A3,Paramecium aurelia,13,513,Monoculture
Gause_book_1934,A3,Paramecium aurelia,14,593,Monoculture
Gause_book_1934,A3,Paramecium aurelia,15,557,Monoculture
Gause_book_1934,A3,Paramecium aurelia,16,560,Monoculture
Gause_book_1934,A3,Paramecium aurelia,17,522,Monoculture
Gause_book_1934,A3,Paramecium aurelia,18,565,Monoculture
Gause_book_1934,A3,Paramecium aurelia,19,517,Monoculture
Gause_book_1934,A3,Paramecium aurelia,20,500,Monoculture
Gause_book_1934,A3,Paramecium aurelia,21,585,Monoculture
Gause_book_1934,A3,Paramecium aurelia,22,500,Monoculture
Gause_book_1934,A3,Paramecium aurelia,23,495,Monoculture
Gause_book_1934,A3,Paramecium aurelia,24,525,Monoculture
Gause_book_1934,A3,Paramecium aurelia,25,510,Monoculture
Gause_book_1934,A3,Paramecium caudatum,0,2,Monoculture
Gause_book_1934,A3,Paramecium caudatum,1,,Monoculture
Gause_book_1934,A3,Paramecium caudatum,2,10,Monoculture
Gause_book_1934,A3,Paramecium caudatum,3,10,Monoculture
Gause_book_1934,A3,Paramecium caudatum,4,11,Monoculture
Gause_book_1934,A3,Paramecium caudatum,5,21,Monoculture
Gause_book_1934,A3,Paramecium caudatum,6,56,Monoculture
Gause_book_1934,A3,Paramecium caudatum,7,104,Monoculture
Gause_book_1934,A3,Paramecium caudatum,8,137,Monoculture
Gause_book_1934,A3,Paramecium caudatum,9,165,Monoculture
Gause_book_1934,A3,Paramecium caudatum,10,194,Monoculture
Gause_book_1934,A3,Paramecium caudatum,11,217,Monoculture
Gause_book_1934,A3,Paramecium caudatum,12,199,Monoculture
Gause_book_1934,A3,Paramecium caudatum,13,201,Monoculture
Gause_book_1934,A3,Paramecium caudatum,14,182,Monoculture
Gause_book_1934,A3,Paramecium caudatum,15,192,Monoculture
Gause_book_1934,A3,Paramecium caudatum,16,179,Monoculture
Gause_book_1934,A3,Paramecium caudatum,17,190,Monoculture
Gause_book_1934,A3,Paramecium caudatum,18,206,Monoculture
Gause_book_1934,A3,Paramecium caudatum,19,209,Monoculture
Gause_book_1934,A3,Paramecium caudatum,20,196,Monoculture
Gause_book_1934,A3,Paramecium caudatum,21,195,Monoculture
Gause_book_1934,A3,Paramecium caudatum,22,234,Monoculture
Gause_book_1934,A3,Paramecium caudatum,23,210,Monoculture
Gause_book_1934,A3,Paramecium caudatum,24,210,Monoculture
Gause_book_1934,A3,Paramecium caudatum,25,180,Monoculture
Gause_book_1934,A3,Paramecium aurelia,0,2,Mixture
Gause_book_1934,A3,Paramecium aurelia,1,,Mixture
Gause_book_1934,A3,Paramecium aurelia,2,10,Mixture
Gause_book_1934,A3,Paramecium aurelia,3,21,Mixture
Gause_book_1934,A3,Paramecium aurelia,4,58,Mixture
Gause_book_1934,A3,Paramecium aurelia,5,92,Mixture
Gause_book_1934,A3,Paramecium aurelia,6,202,Mixture
Gause_book_1934,A3,Paramecium aurelia,7,163,Mixture
Gause_book_1934,A3,Paramecium aurelia,8,221,Mixture
Gause_book_1934,A3,Paramecium aurelia,9,293,Mixture
Gause_book_1934,A3,Paramecium aurelia,10,236,Mixture
Gause_book_1934,A3,Paramecium aurelia,11,303,Mixture
Gause_book_1934,A3,Paramecium aurelia,12,302,Mixture
Gause_book_1934,A3,Paramecium aurelia,13,340,Mixture
Gause_book_1934,A3,Paramecium aurelia,14,387,Mixture
Gause_book_1934,A3,Paramecium aurelia,15,335,Mixture
Gause_book_1934,A3,Paramecium aurelia,16,363,Mixture
Gause_book_1934,A3,Paramecium aurelia,17,323,Mixture
Gause_book_1934,A3,Paramecium aurelia,18,358,Mixture
Gause_book_1934,A3,Paramecium aurelia,19,308,Mixture
Gause_book_1934,A3,Paramecium aurelia,20,350,Mixture
Gause_book_1934,A3,Paramecium aurelia,21,330,Mixture
Gause_book_1934,A3,Paramecium aurelia,22,350,Mixture
Gause_book_1934,A3,Paramecium aurelia,23,350,Mixture
Gause_book_1934,A3,Paramecium aurelia,24,330,Mixture
Gause_book_1934,A3,Paramecium aurelia,25,350,Mixture
Gause_book_1934,A3,Paramecium caudatum,0,2,Mixture
Gause_book_1934,A3,Paramecium caudatum,1,,Mixture
Gause_book_1934,A3,Paramecium caudatum,2,10,Mixture
Gause_book_1934,A3,Paramecium caudatum,3,11,Mixture
Gause_book_1934,A3,Paramecium caudatum,4,29,Mixture
Gause_book_1934,A3,Paramecium caudatum,5,50,Mixture
Gause_book_1934,A3,Paramecium caudatum,6,88,Mixture
Gause_book_1934,A3,Paramecium caudatum,7,102,Mixture
Gause_book_1934,A3,Paramecium caudatum,8,124,Mixture
Gause_book_1934,A3,Paramecium caudatum,9,93,Mixture
Gause_book_1934,A3,Paramecium caudatum,10,80,Mixture
Gause_book_1934,A3,Paramecium caudatum,11,66,Mixture
Gause_book_1934,A3,Paramecium caudatum,12,83,Mixture
Gause_book_1934,A3,Paramecium caudatum,13,55,Mixture
Gause_book_1934,A3,Paramecium caudatum,14,67,Mixture
Gause_book_1934,A3,Paramecium caudatum,15,52,Mixture
Gause_book_1934,A3,Paramecium caudatum,16,55,Mixture
Gause_book_1934,A3,Paramecium caudatum,17,40,Mixture
Gause_book_1934,A3,Paramecium caudatum,18,48,Mixture
Gause_book_1934,A3,Paramecium caudatum,19,47,Mixture
Gause_book_1934,A3,Paramecium caudatum,20,50,Mixture
Gause_book_1934,A3,Paramecium caudatum,21,40,Mixture
Gause_book_1934,A3,Paramecium caudatum,22,20,Mixture
Gause_book_1934,A3,Paramecium caudatum,23,20,Mixture
Gause_book_1934,A3,Paramecium caudatum,24,35,Mixture
Gause_book_1934,A3,Paramecium caudatum,25,20,Mixture
