Paper,Table,Species,Time,Individuals,Individuals_Mixture,Treatment
Gause_1934_book,A4,Paramecium aurelia,0,2,2,one loop
Gause_1934_book,A4,Paramecium aurelia,0,2,2,half loop
Gause_1934_book,A4,Paramecium aurelia,1,6,10,one loop
Gause_1934_book,A4,Paramecium aurelia,1,3,4,half loop
Gause_1934_book,A4,Paramecium aurelia,2,24,29,one loop
Gause_1934_book,A4,Paramecium aurelia,2,29,29,half loop
Gause_1934_book,A4,Paramecium aurelia,3,75,68,one loop
Gause_1934_book,A4,Paramecium aurelia,3,92,66,half loop
Gause_1934_book,A4,Paramecium aurelia,4,182,144,one loop
Gause_1934_book,A4,Paramecium aurelia,4,173,141,half loop
Gause_1934_book,A4,Paramecium aurelia,5,264,164,one loop
Gause_1934_book,A4,Paramecium aurelia,5,210,162,half loop
Gause_1934_book,A4,Paramecium aurelia,6,318,168,one loop
Gause_1934_book,A4,Paramecium aurelia,6,210,219,half loop
Gause_1934_book,A4,Paramecium aurelia,7,373,248,one loop
Gause_1934_book,A4,Paramecium aurelia,7,240,153,half loop
Gause_1934_book,A4,Paramecium aurelia,8,396,240,one loop
Gause_1934_book,A4,Paramecium aurelia,8,,162,half loop
Gause_1934_book,A4,Paramecium aurelia,9,443,,one loop
Gause_1934_book,A4,Paramecium aurelia,9,,150,half loop
Gause_1934_book,A4,Paramecium aurelia,10,454,281,one loop
Gause_1934_book,A4,Paramecium aurelia,10,240,175,half loop
Gause_1934_book,A4,Paramecium aurelia,11,420,,one loop
Gause_1934_book,A4,Paramecium aurelia,11,219,260,half loop
Gause_1934_book,A4,Paramecium aurelia,12,438,300,one loop
Gause_1934_book,A4,Paramecium aurelia,12,255,276,half loop
Gause_1934_book,A4,Paramecium aurelia,13,492,,one loop
Gause_1934_book,A4,Paramecium aurelia,13,252,285,half loop
Gause_1934_book,A4,Paramecium aurelia,14,468,,one loop
Gause_1934_book,A4,Paramecium aurelia,14,270,225,half loop
Gause_1934_book,A4,Paramecium aurelia,15,400,360,one loop
Gause_1934_book,A4,Paramecium aurelia,15,240,222,half loop
Gause_1934_book,A4,Paramecium aurelia,16,472,294,one loop
Gause_1934_book,A4,Paramecium aurelia,16,249,220,half loop
Gause_1934_book,A4,Paramecium caudatum,0,2,2,one loop
Gause_1934_book,A4,Paramecium caudatum,0,2,2,half loop
Gause_1934_book,A4,Paramecium caudatum,1,6,5,one loop
Gause_1934_book,A4,Paramecium caudatum,1,5,8,half loop
Gause_1934_book,A4,Paramecium caudatum,2,31,15,one loop
Gause_1934_book,A4,Paramecium caudatum,2,22,20,half loop
Gause_1934_book,A4,Paramecium caudatum,3,46,32,one loop
Gause_1934_book,A4,Paramecium caudatum,3,16,25,half loop
Gause_1934_book,A4,Paramecium caudatum,4,76,52,one loop
Gause_1934_book,A4,Paramecium caudatum,4,39,24,half loop
Gause_1934_book,A4,Paramecium caudatum,5,115,40,one loop
Gause_1934_book,A4,Paramecium caudatum,5,52,,half loop
Gause_1934_book,A4,Paramecium caudatum,6,118,32,one loop
Gause_1934_book,A4,Paramecium caudatum,6,54,,half loop
Gause_1934_book,A4,Paramecium caudatum,7,140,36,one loop
Gause_1934_book,A4,Paramecium caudatum,7,47,,half loop
Gause_1934_book,A4,Paramecium caudatum,8,125,40,one loop
Gause_1934_book,A4,Paramecium caudatum,8,50,21,half loop
Gause_1934_book,A4,Paramecium caudatum,9,137,32,one loop
Gause_1934_book,A4,Paramecium caudatum,9,76,15,half loop
Gause_1934_book,A4,Paramecium caudatum,10,162,20,one loop
Gause_1934_book,A4,Paramecium caudatum,10,69,12,half loop
Gause_1934_book,A4,Paramecium caudatum,11,124,30,one loop
Gause_1934_book,A4,Paramecium caudatum,11,51,9,half loop
Gause_1934_book,A4,Paramecium caudatum,12,135,12,one loop
Gause_1934_book,A4,Paramecium caudatum,12,57,12,half loop
Gause_1934_book,A4,Paramecium caudatum,13,133,16,one loop
Gause_1934_book,A4,Paramecium caudatum,13,70,6,half loop
Gause_1934_book,A4,Paramecium caudatum,14,110,20,one loop
Gause_1934_book,A4,Paramecium caudatum,14,53,9,half loop
Gause_1934_book,A4,Paramecium caudatum,15,113,12,one loop
Gause_1934_book,A4,Paramecium caudatum,15,59,3,half loop
Gause_1934_book,A4,Paramecium caudatum,16,127,9,one loop
Gause_1934_book,A4,Paramecium caudatum,16,57,0,half loop
