Paper,Table,Time,Experiment,Culture,Species,Individuals,Treatment
Gause_1934_book_app,5,0,1,1,Stylonychia pustulata,2,Monoculture
Gause_1934_book_app,5,2,1,1,Stylonychia pustulata,7,Monoculture
Gause_1934_book_app,5,3,1,1,Stylonychia pustulata,18,Monoculture
Gause_1934_book_app,5,4,1,1,Stylonychia pustulata,39,Monoculture
Gause_1934_book_app,5,5,1,1,Stylonychia pustulata,47,Monoculture
Gause_1934_book_app,5,6,1,1,Stylonychia pustulata,66,Monoculture
Gause_1934_book_app,5,7,1,1,Stylonychia pustulata,72,Monoculture
Gause_1934_book_app,5,8,1,1,Stylonychia pustulata,51,Monoculture
Gause_1934_book_app,5,9,1,1,Stylonychia pustulata,46,Monoculture
Gause_1934_book_app,5,10,1,1,Stylonychia pustulata,74,Monoculture
Gause_1934_book_app,5,11,1,1,Stylonychia pustulata,63,Monoculture
Gause_1934_book_app,5,12,1,1,Stylonychia pustulata,49,Monoculture
Gause_1934_book_app,5,13,1,1,Stylonychia pustulata,54,Monoculture
Gause_1934_book_app,5,14,1,1,Stylonychia pustulata,27,Monoculture
Gause_1934_book_app,5,15,1,1,Stylonychia pustulata,51,Monoculture
Gause_1934_book_app,5,16,1,1,Stylonychia pustulata,36,Monoculture
Gause_1934_book_app,5,17,1,1,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,18,1,1,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,19,1,1,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,20,1,1,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,21,1,1,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,22,1,1,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,23,1,1,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,24,1,1,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,25,1,1,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,0,1,2,Stylonychia pustulata,2,Monoculture
Gause_1934_book_app,5,2,1,2,Stylonychia pustulata,2,Monoculture
Gause_1934_book_app,5,3,1,2,Stylonychia pustulata,14,Monoculture
Gause_1934_book_app,5,4,1,2,Stylonychia pustulata,59,Monoculture
Gause_1934_book_app,5,5,1,2,Stylonychia pustulata,92,Monoculture
Gause_1934_book_app,5,6,1,2,Stylonychia pustulata,97,Monoculture
Gause_1934_book_app,5,7,1,2,Stylonychia pustulata,78,Monoculture
Gause_1934_book_app,5,8,1,2,Stylonychia pustulata,64,Monoculture
Gause_1934_book_app,5,9,1,2,Stylonychia pustulata,62,Monoculture
Gause_1934_book_app,5,10,1,2,Stylonychia pustulata,64,Monoculture
Gause_1934_book_app,5,11,1,2,Stylonychia pustulata,48,Monoculture
Gause_1934_book_app,5,12,1,2,Stylonychia pustulata,33,Monoculture
Gause_1934_book_app,5,13,1,2,Stylonychia pustulata,30,Monoculture
Gause_1934_book_app,5,14,1,2,Stylonychia pustulata,43,Monoculture
Gause_1934_book_app,5,15,1,2,Stylonychia pustulata,45,Monoculture
Gause_1934_book_app,5,16,1,2,Stylonychia pustulata,25,Monoculture
Gause_1934_book_app,5,17,1,2,Stylonychia pustulata,55,Monoculture
Gause_1934_book_app,5,18,1,2,Stylonychia pustulata,57,Monoculture
Gause_1934_book_app,5,19,1,2,Stylonychia pustulata,52,Monoculture
Gause_1934_book_app,5,20,1,2,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,21,1,2,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,22,1,2,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,23,1,2,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,24,1,2,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,25,1,2,Stylonychia pustulata,,Monoculture
Gause_1934_book_app,5,0,1,3,Stylonychia pustulata,2,Monoculture
Gause_1934_book_app,5,2,1,3,Stylonychia pustulata,12,Monoculture
Gause_1934_book_app,5,3,1,3,Stylonychia pustulata,38,Monoculture
Gause_1934_book_app,5,4,1,3,Stylonychia pustulata,64,Monoculture
Gause_1934_book_app,5,5,1,3,Stylonychia pustulata,74,Monoculture
Gause_1934_book_app,5,6,1,3,Stylonychia pustulata,70,Monoculture
Gause_1934_book_app,5,7,1,3,Stylonychia pustulata,64,Monoculture
Gause_1934_book_app,5,8,1,3,Stylonychia pustulata,20,Monoculture
Gause_1934_book_app,5,9,1,3,Stylonychia pustulata,41,Monoculture
Gause_1934_book_app,5,10,1,3,Stylonychia pustulata,34,Monoculture
Gause_1934_book_app,5,11,1,3,Stylonychia pustulata,21,Monoculture
Gause_1934_book_app,5,12,1,3,Stylonychia pustulata,34,Monoculture
Gause_1934_book_app,5,13,1,3,Stylonychia pustulata,24,Monoculture
