Paper,Figure,Species,Time,Alcohol_Percent,Yeast_Volume,Treatment
Gause_book_1934,11,Saccharomyces cerevisiae,6.641334242,,1.536955836,2
Gause_book_1934,11,Saccharomyces cerevisiae,14.96240831,1.017659043,6.340214122,2
Gause_book_1934,11,Saccharomyces cerevisiae,24.20287643,1.797998268,10.891369,2
Gause_book_1934,11,Saccharomyces cerevisiae,31.49013663,2.263602099,12.55491914,2
Gause_book_1934,11,Saccharomyces cerevisiae,33.05806789,,12.88046962,2
Gause_book_1934,11,Saccharomyces cerevisiae,43.92700057,2.36431009,12.95823711,2
Gause_book_1934,11,Saccharomyces cerevisiae,51.57105118,2.628823919,12.85392992,2
Gause_book_1934,11,Saccharomyces cerevisiae,15.93421053,0.442922811,5.4,1
Gause_book_1934,11,Saccharomyces cerevisiae,31.96052632,1.00702336,10.93253589,1
Gause_book_1934,11,Saccharomyces cerevisiae,47.89473684,1.585741383,11.88301435,1
Gause_book_1934,11,Saccharomyces cerevisiae,64.01315789,1.589951981,11.12488038,1
