Paper,Figure,Species,Time,Volume
Gause_book_1934,13,Schizosaccharomyces  kephir,6.081571786,0.801473854
Gause_book_1934,13,Schizosaccharomyces  kephir,6.262170821,0.391578761
Gause_book_1934,13,Schizosaccharomyces  kephir,16.29164485,1.352404705
Gause_book_1934,13,Schizosaccharomyces  kephir,16.55888014,0.908148173
Gause_book_1934,13,Schizosaccharomyces  kephir,15.2651976,1.15063199
Gause_book_1934,13,Schizosaccharomyces  kephir,29.25502898,1.690817259
Gause_book_1934,13,Schizosaccharomyces  kephir,31.73231291,2.331962152
Gause_book_1934,13,Schizosaccharomyces  kephir,32.34389524,1.852611527
Gause_book_1934,13,Schizosaccharomyces  kephir,48.21847721,2.626244557
Gause_book_1934,13,Schizosaccharomyces  kephir,72.48157301,4.774750325
Gause_book_1934,13,Schizosaccharomyces  kephir,93.25559068,5.397994056
Gause_book_1934,13,Schizosaccharomyces  kephir,117.2168333,5.602795072
Gause_book_1934,13,Saccharomyces  cerevisiae ,15.59287678,5.891704686
Gause_book_1934,13,Saccharomyces  cerevisiae ,15.24047055,6.302088215
Gause_book_1934,13,Saccharomyces  cerevisiae ,16.08924938,6.777287138
Gause_book_1934,13,Saccharomyces  cerevisiae ,7.181467535,1.582995117
Gause_book_1934,13,Saccharomyces  cerevisiae ,15.45861806,8.143685521
Gause_book_1934,13,Saccharomyces  cerevisiae ,15.96011924,8.790447422
Gause_book_1934,13,Saccharomyces  cerevisiae ,24.07407125,10.95074891
Gause_book_1934,13,Saccharomyces  cerevisiae ,24.16803403,10.57521526
Gause_book_1934,13,Saccharomyces  cerevisiae ,29.1116121,12.36926336
Gause_book_1934,13,Saccharomyces  cerevisiae ,31.59988583,12.49864993
Gause_book_1934,13,Saccharomyces  cerevisiae ,32.01768137,13.04330439
Gause_book_1934,13,Saccharomyces  cerevisiae ,33.31282922,12.73258613
Gause_book_1934,13,Saccharomyces  cerevisiae ,40.17339461,13.25892425
Gause_book_1934,13,Saccharomyces  cerevisiae ,41.81948339,12.60605691
Gause_book_1934,13,Saccharomyces  cerevisiae ,42.76515562,12.56925329
Gause_book_1934,13,Saccharomyces  cerevisiae ,47.91644089,12.69106911
Gause_book_1934,13,Saccharomyces  cerevisiae ,49.88269916,13.12897598
Gause_book_1934,13,Saccharomyces  cerevisiae ,50.66315807,12.78560581
Gause_book_1934,13,Saccharomyces  cerevisiae ,52.89958223,12.64278726
Gause_book_1934,13,Mixed Population,7.699819737,1.445060925
Gause_book_1934,13,Mixed Population,7.795247828,1.001292828
Gause_book_1934,13,Mixed Population,15.1023654,4.733184462
Gause_book_1934,13,Mixed Population,24.2156565,8.357595859
Gause_book_1934,13,Mixed Population,24.29496621,8.664406635
Gause_book_1934,13,Mixed Population,29.18487743,8.957541216
Gause_book_1934,13,Mixed Population,29.18487743,8.957541216
Gause_book_1934,13,Mixed Population,31.45885007,11.06621507
Gause_book_1934,13,Mixed Population,32.14314824,11.20073021
Gause_book_1934,13,Mixed Population,33.09761231,10.75451994
Gause_book_1934,13,Mixed Population,42.96626895,11.20407599
Gause_book_1934,13,Mixed Population,44.0786198,11.40560449
Gause_book_1934,13,Mixed Population,48.05656083,10.1661505
Gause_book_1934,13,Mixed Population,50.09260432,11.35439203
Gause_book_1934,13,Mixed Population,51.4809823,10.70225734
Gause_book_1934,13,Mixed Population,53.1204772,10.35644498
