Paper,Figure,Species,Time,Volume,Individuals
Gause_book_1934,21,Paramecium caudatum,3.134845882,,21.021072
Gause_book_1934,21,Paramecium caudatum,4.12250691,,20.88525503
Gause_book_1934,21,Paramecium caudatum,5.035604419,,30.66068167
Gause_book_1934,21,Paramecium caudatum,6.096199162,,53.61714553
Gause_book_1934,21,Paramecium caudatum,7.081008034,,111.2374963
Gause_book_1934,21,Paramecium caudatum,8.092219725,,134.2007511
Gause_book_1934,21,Paramecium caudatum,9.053640914,,165.4216777
Gause_book_1934,21,Paramecium caudatum,10.03975363,,196.639209
Gause_book_1934,21,Paramecium caudatum,11.02668124,,211.354978
Gause_book_1934,21,Paramecium caudatum,12.06445874,,196.3607842
Gause_book_1934,21,Paramecium caudatum,13.07624086,,207.7728054
Gause_book_1934,21,Paramecium caudatum,14.06471679,,191.1352262
Gause_book_1934,21,Paramecium caudatum,15.0765804,,200.8970711
Gause_book_1934,21,Paramecium caudatum,16.06497484,,185.9096681
Gause_book_1934,21,Paramecium caudatum,17.05206544,,197.3250847
Gause_book_1934,21,Paramecium caudatum,18.01430153,,212.0442492
Gause_book_1934,21,Paramecium caudatum,19.05118263,,215.2019938
Gause_book_1934,21,Paramecium caudatum,20.03949558,,201.864767
Gause_book_1934,21,Paramecium caudatum,21.07670264,,198.4218068
Gause_book_1934,21,Paramecium caudatum,22.08742539,,231.2861188
Gause_book_1934,21,Paramecium caudatum,23.05120979,,214.6519351
Gause_book_1934,21,Paramecium caudatum,24.06364383,,212.8625464
Gause_book_1934,21,Paramecium caudatum,25.02750973,,194.5781864
Gause_book_1934,21,Paramecium aurelia,2.103655199,,19.14473327
Gause_book_1934,21,Paramecium aurelia,3.055395782,,36.52139365
Gause_book_1934,21,Paramecium aurelia,4.078228061,,61.05045248
Gause_book_1934,21,Paramecium aurelia,5.088484695,,99.10979258
Gause_book_1934,21,Paramecium aurelia,6.107662177,,197.648491
Gause_book_1934,21,Paramecium aurelia,7.021204236,,265.1656261
Gause_book_1934,21,Paramecium aurelia,8.065297217,,341.4185775
Gause_book_1934,21,Paramecium aurelia,8.990432449,,415.3004957
Gause_book_1934,21,Paramecium aurelia,10.00976713,,510.6559838
Gause_book_1934,21,Paramecium aurelia,10.99455808,,582.142307
Gause_book_1934,21,Paramecium aurelia,12.0052077,,612.2436214
Gause_book_1934,21,Paramecium aurelia,12.96245013,,518.207921
Gause_book_1934,21,Paramecium aurelia,14.06604163,,595.2484877
Gause_book_1934,21,Paramecium aurelia,14.98469255,,559.3112878
Gause_book_1934,21,Paramecium aurelia,16.043837,,571.8983957
Gause_book_1934,21,Paramecium aurelia,17.03464068,,521.6269247
Gause_book_1934,21,Paramecium aurelia,17.99679547,,569.2424455
Gause_book_1934,21,Paramecium aurelia,18.9754951,,522.9516249
Gause_book_1934,21,Paramecium aurelia,20.03601501,,507.6856425
Gause_book_1934,21,Paramecium aurelia,21.00842681,,588.7232341
Gause_book_1934,21,Paramecium aurelia,22.07228714,,505.8140328
Gause_book_1934,21,Paramecium aurelia,23.02552108,,492.9501952
Gause_book_1934,21,Paramecium aurelia,24.03585631,,529.4179302
Gause_book_1934,21,Paramecium aurelia,24.96511793,,519.7405778
Gause_book_1934,21,Paramecium caudatum,2.051950542,10.39969328,
Gause_book_1934,21,Paramecium caudatum,4.052065561,10.86552286,
Gause_book_1934,21,Paramecium caudatum,5.066998946,21.3457299,
Gause_book_1934,21,Paramecium caudatum,6.038378223,55.43180293,
Gause_book_1934,21,Paramecium caudatum,7.038282373,105.0436116,
Gause_book_1934,21,Paramecium caudatum,8.033739097,136.6433432,
Gause_book_1934,21,Paramecium caudatum,8.954816448,167.0066136,
Gause_book_1934,21,Paramecium caudatum,11.04142624,217.7762868,
Gause_book_1934,21,Paramecium caudatum,12.02492092,200.9297422,
Gause_book_1934,21,Paramecium caudatum,14.0452794,183.3815777,
Gause_book_1934,21,Paramecium caudatum,10.0729608,195.4912298,
Gause_book_1934,21,Paramecium caudatum,15.06005943,193.2406786,
Gause_book_1934,21,Paramecium caudatum,16.06947187,181.3610658,
Gause_book_1934,21,Paramecium caudatum,17.01017924,191.2259178,
Gause_book_1934,21,Paramecium caudatum,18.00210869,208.540209,
Gause_book_1934,21,Paramecium caudatum,18.99035752,210.9479536,
Gause_book_1934,21,Paramecium caudatum,20.02384741,196.5819994,
Gause_book_1934,21,Paramecium caudatum,21.0364804,197.7456149,
Gause_book_1934,21,Paramecium caudatum,21.98408895,235.5602415,
Gause_book_1934,21,Paramecium caudatum,22.94151251,213.125659,
Gause_book_1934,21,Paramecium caudatum,24.95911051,184.3975846,
Gause_book_1934,21,Paramecium aurelia,2.021993287,2.704501071,
Gause_book_1934,21,Paramecium aurelia,3.007669969,16.10709691,
Gause_book_1934,21,Paramecium aurelia,3.981821511,23.02063919,
Gause_book_1934,21,Paramecium aurelia,5.007189044,36.42015345,
Gause_book_1934,21,Paramecium aurelia,5.998597478,73.03635036,
Gause_book_1934,21,Paramecium aurelia,7.118877915,109.1433149,
Gause_book_1934,21,Paramecium aurelia,7.99694555,128.7946004,
Gause_book_1934,21,Paramecium aurelia,9.056765234,161.1620581,
Gause_book_1934,21,Paramecium aurelia,10.0196998,203.0223471,
Gause_book_1934,21,Paramecium aurelia,11.03804131,228.1542366,
Gause_book_1934,21,Paramecium aurelia,12.03240807,236.5638898,
Gause_book_1934,21,Paramecium aurelia,12.93716225,203.5446763,
Gause_book_1934,21,Paramecium aurelia,14.05577863,232.9122082,
Gause_book_1934,21,Paramecium aurelia,15.03442929,217.8594221,
Gause_book_1934,21,Paramecium aurelia,16.02737852,220.5280772,
Gause_book_1934,21,Paramecium aurelia,17.01471926,200.4823484,
Gause_book_1934,21,Paramecium aurelia,18.05216662,222.6173937,
Gause_book_1934,21,Paramecium aurelia,20.96106226,228.6318827,
Gause_book_1934,21,Paramecium aurelia,23.98243586,207.9290053,
