Paper,Figure,Day,Species1,Volume_Species1,Species2,Volume_Species2,Treatment
gause_book_1934_f22,22.0,2.0,Paramecium caudatum,6.511037264,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,3.0,Paramecium caudatum,8.013457463,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,4.0,Paramecium caudatum,8.097566607,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,5.0,Paramecium caudatum,18.75468991,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,6.0,Paramecium caudatum,54.0491956,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,7.0,Paramecium caudatum,103.4303337,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,8.0,Paramecium caudatum,135.9179029,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,9.0,Paramecium caudatum,166.2854269,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,10.0,Paramecium caudatum,196.6603722,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,11.0,Paramecium caudatum,215.7556217,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,12.0,Paramecium caudatum,199.7669132,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,13.0,Paramecium caudatum,202.5480123,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,14.0,Paramecium caudatum,183.8598401,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,15.0,Paramecium caudatum,193.3399851,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,16.0,Paramecium caudatum,182.8655106,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,17.0,Paramecium caudatum,191.1657912,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,18.0,Paramecium caudatum,208.8637569,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,19.0,Paramecium caudatum,211.8845396,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,20.0,Paramecium caudatum,198.4758653,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,21.0,Paramecium caudatum,197.9756083,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,22.0,Paramecium caudatum,221.5378505,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,23.0,Paramecium caudatum,213.4045512,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,24.0,Paramecium caudatum,213.4931957,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,25.0,Paramecium caudatum,,Paramecium aurelia,0.0,Pc
gause_book_1934_f22,22.0,2.0,Paramecium caudatum,,Paramecium aurelia,5.849283537,Pa
gause_book_1934_f22,22.0,3.0,Paramecium caudatum,,Paramecium aurelia,13.67289007,Pa
gause_book_1934_f22,22.0,4.0,Paramecium caudatum,,Paramecium aurelia,,Pa
gause_book_1934_f22,22.0,5.0,Paramecium caudatum,,Paramecium aurelia,35.69788045,Pa
gause_book_1934_f22,22.0,6.0,Paramecium caudatum,,Paramecium aurelia,73.94783955,Pa
gause_book_1934_f22,22.0,7.0,Paramecium caudatum,,Paramecium aurelia,103.8551913,Pa
gause_book_1934_f22,22.0,8.0,Paramecium caudatum,,Paramecium aurelia,128.8565161,Pa
gause_book_1934_f22,22.0,9.0,Paramecium caudatum,,Paramecium aurelia,160.2356183,Pa
gause_book_1934_f22,22.0,10.0,Paramecium caudatum,,Paramecium aurelia,201.922734,Pa
gause_book_1934_f22,22.0,11.0,Paramecium caudatum,,Paramecium aurelia,225.4494282,Pa
gause_book_1934_f22,22.0,12.0,Paramecium caudatum,,Paramecium aurelia,236.2176877,Pa
gause_book_1934_f22,22.0,13.0,Paramecium caudatum,,Paramecium aurelia,200.8513227,Pa
gause_book_1934_f22,22.0,14.0,Paramecium caudatum,,Paramecium aurelia,231.2500259,Pa
gause_book_1934_f22,22.0,15.0,Paramecium caudatum,,Paramecium aurelia,,Pa
gause_book_1934_f22,22.0,16.0,Paramecium caudatum,,Paramecium aurelia,217.9409088,Pa
gause_book_1934_f22,22.0,17.0,Paramecium caudatum,,Paramecium aurelia,199.7534141,Pa
gause_book_1934_f22,22.0,18.0,Paramecium caudatum,,Paramecium aurelia,219.845256,Pa
gause_book_1934_f22,22.0,19.0,Paramecium caudatum,,Paramecium aurelia,,Pa
gause_book_1934_f22,22.0,20.0,Paramecium caudatum,,Paramecium aurelia,,Pa
gause_book_1934_f22,22.0,21.0,Paramecium caudatum,,Paramecium aurelia,227.1176041,Pa
gause_book_1934_f22,22.0,22.0,Paramecium caudatum,,Paramecium aurelia,,Pa
gause_book_1934_f22,22.0,23.0,Paramecium caudatum,,Paramecium aurelia,,Pa
gause_book_1934_f22,22.0,24.0,Paramecium caudatum,,Paramecium aurelia,,Pa
gause_book_1934_f22,22.0,25.0,Paramecium caudatum,,Paramecium aurelia,,Pa
gause_book_1934_f22,22.0,2.0,Paramecium caudatum,,Paramecium aurelia,,Mixture
gause_book_1934_f22,22.0,3.0,Paramecium caudatum,,Paramecium aurelia,9.254182536,Mixture
gause_book_1934_f22,22.0,4.0,Paramecium caudatum,,Paramecium aurelia,19.04089105,Mixture
gause_book_1934_f22,22.0,5.0,Paramecium caudatum,48.32459934,Paramecium aurelia,,Mixture
gause_book_1934_f22,22.0,6.0,Paramecium caudatum,89.9599652,Paramecium aurelia,,Mixture
gause_book_1934_f22,22.0,7.0,Paramecium caudatum,,Paramecium aurelia,64.10295226,Mixture
gause_book_1934_f22,22.0,8.0,Paramecium caudatum,124.649644,Paramecium aurelia,86.64809554,Mixture
gause_book_1934_f22,22.0,9.0,Paramecium caudatum,93.74574811,Paramecium aurelia,112.141348,Mixture
gause_book_1934_f22,22.0,10.0,Paramecium caudatum,78.34698749,Paramecium aurelia,91.49997581,Mixture
gause_book_1934_f22,22.0,11.0,Paramecium caudatum,65.75767196,Paramecium aurelia,116.98862,Mixture
gause_book_1934_f22,22.0,12.0,Paramecium caudatum,86.26901241,Paramecium aurelia,124.3220271,Mixture
gause_book_1934_f22,22.0,13.0,Paramecium caudatum,53.96163091,Paramecium aurelia,129.6917561,Mixture
gause_book_1934_f22,22.0,14.0,Paramecium caudatum,66.02484549,Paramecium aurelia,150.7651489,Mixture
gause_book_1934_f22,22.0,15.0,Paramecium caudatum,52.02214902,Paramecium aurelia,136.5021301,Mixture
gause_book_1934_f22,22.0,16.0,Paramecium caudatum,55.63476389,Paramecium aurelia,142.3632107,Mixture
gause_book_1934_f22,22.0,17.0,Paramecium caudatum,41.63701508,Paramecium aurelia,125.156115,Mixture
gause_book_1934_f22,22.0,18.0,Paramecium caudatum,47.35980605,Paramecium aurelia,140.3407779,Mixture
gause_book_1934_f22,22.0,19.0,Paramecium caudatum,47.44639007,Paramecium aurelia,120.6798047,Mixture
gause_book_1934_f22,22.0,20.0,Paramecium caudatum,51.76074776,Paramecium aurelia,141.7537736,Mixture
gause_book_1934_f22,22.0,21.0,Paramecium caudatum,42.69498926,Paramecium aurelia,132.3990857,Mixture
gause_book_1934_f22,22.0,22.0,Paramecium caudatum,23.06350731,Paramecium aurelia,140.2244203,Mixture
gause_book_1934_f22,22.0,23.0,Paramecium caudatum,22.45082234,Paramecium aurelia,,Mixture
gause_book_1934_f22,22.0,24.0,Paramecium caudatum,36.61679153,Paramecium aurelia,,Mixture
gause_book_1934_f22,22.0,25.0,Paramecium caudatum,22.62399037,Paramecium aurelia,140.6247595,Mixture
