Paper,Figure,Species,Time,Volume,Individuals,Treatment
Gause_book_1934,29,Paramecium caudatum,0.105815554,,1.500129043,0
Gause_book_1934,29,Paramecium caudatum,3.367386442,,0.034594374,0
Gause_book_1934,29,Didinum nasutum,0.090975568,,0.920842653,0
Gause_book_1934,29,Didinum nasutum,3.475567791,,1.967653131,0
Gause_book_1934,29,Didinum nasutum,3.463093599,,1.821296456,0
Gause_book_1934,29,Didinum nasutum,6.91586373,,2.435263248,0
Gause_book_1934,29,Didinum nasutum,6.938446318,,2.295046886,0
Gause_book_1934,29,Didinum nasutum,0.090760496,0.926939952,,0
Gause_book_1934,29,Didinum nasutum,3.457071576,0.992020819,,0
Gause_book_1934,29,Didinum nasutum,6.913282863,1.008430833,,0
Gause_book_1934,29,Paramecium caudatum,0.035163229,,5.190839695,24
Gause_book_1934,29,Paramecium caudatum,1.006131233,,37.96437659,24
Gause_book_1934,29,Paramecium caudatum,1.267581614,,35.92875318,24
Gause_book_1934,29,Paramecium caudatum,1.431866169,,24.1221374,24
Gause_book_1934,29,Paramecium caudatum,1.491270099,,21.88295165,24
Gause_book_1934,29,Paramecium caudatum,1.605408478,,15.77608142,24
Gause_book_1934,29,Paramecium caudatum,1.994437226,,0.610687023,24
Gause_book_1934,29,Didinum nasutum,1.013399383,,6.41221374,24
Gause_book_1934,29,Didinum nasutum,1.977221049,,30.43256997,24
Gause_book_1934,29,Didinum nasutum,1.982540198,,30.43256997,24
Gause_book_1934,29,Didinum nasutum,2.055871366,,33.28244275,24
Gause_book_1934,29,Didinum nasutum,2.165746305,,37.86259542,24
Gause_book_1934,29,Didinum nasutum,2.571300958,,47.9389313,24
Gause_book_1934,29,Didinum nasutum,2.945224947,,43.96946565,24
Gause_book_1934,29,Didinum nasutum,1.013358779,6.513994911,,24
Gause_book_1934,29,Didinum nasutum,1.838598343,17.91348601,,24
Gause_book_1934,29,Didinum nasutum,2.582954361,18.72773537,,24
Gause_book_1934,29,Paramecium caudatum,1.503007388,,48.9278009,36
Gause_book_1934,29,Paramecium caudatum,1.845555386,,44.18045053,36
Gause_book_1934,29,Paramecium caudatum,1.996415107,,38.99143548,36
Gause_book_1934,29,Paramecium caudatum,2.129753525,,21.93849384,36
Gause_book_1934,29,Paramecium caudatum,2.418724257,,1.43559178,36
Gause_book_1934,29,Paramecium caudatum,2.530814828,,0.841196853,36
Gause_book_1934,29,Didinum nasutum,1.984124044,,10.768482,36
Gause_book_1934,29,Didinum nasutum,1.544260902,,3.229309681,36
Gause_book_1934,29,Didinum nasutum,2.129720836,,22.04073775,36
Gause_book_1934,29,Didinum nasutum,2.372207815,,30.26202047,36
Gause_book_1934,29,Didinum nasutum,2.493876261,,33.04349089,36
Gause_book_1934,29,Didinum nasutum,2.641107503,,39.20355075,36
Gause_book_1934,29,Didinum nasutum,2.990749014,,45.6026035,36
Gause_book_1934,29,Didinum nasutum,1.538932595,3.228401653,,36
Gause_book_1934,29,Didinum nasutum,2.402772027,17.99729045,,36
Gause_book_1934,29,Didinum nasutum,3.004674527,18.71336108,,36
Gause_book_1934,29,Paramecium caudatum,1.343077338,,96.91906943,48
Gause_book_1934,29,Paramecium caudatum,1.350521872,,92.69558969,48
Gause_book_1934,29,Paramecium caudatum,1.743601904,,89.57513698,48
Gause_book_1934,29,Paramecium caudatum,2.023231833,,74.75613042,48
Gause_book_1934,29,Paramecium caudatum,2.232138687,,50.06018144,48
Gause_book_1934,29,Paramecium caudatum,2.391650049,,16.90110482,48
Gause_book_1934,29,Paramecium caudatum,2.542150364,,9.896703494,48
Gause_book_1934,29,Paramecium caudatum,2.664065391,,3.08631995,48
Gause_book_1934,29,Paramecium caudatum,3.371353633,,1.050929669,48
Gause_book_1934,29,Didinum nasutum,2.291824306,,14.46151082,48
Gause_book_1934,29,Didinum nasutum,1.321174885,,3.553399802,48
Gause_book_1934,29,Didinum nasutum,2.754966316,,30.47336747,48
Gause_book_1934,29,Didinum nasutum,2.961674302,,36.5615737,48
Gause_book_1934,29,Didinum nasutum,3.425448666,,43.72047067,48
Gause_book_1934,29,Didinum nasutum,4.01123866,,42.6605587,48
Gause_book_1934,29,Didinum nasutum,1.321174885,3.553399802,,48
Gause_book_1934,29,Didinum nasutum,2.013645918,8.958950867,,48
Gause_book_1934,29,Didinum nasutum,2.812956077,18.61672505,,48
Gause_book_1934,29,Didinum nasutum,3.405745082,19.57064583,,48
