Paper,Figure,Day,Prey,Individuals_Prey,Predator,Individuals_Predator,Immigration
gause_1934_book,32,1,Paramecium caudatum,2.9,Didinium nasutum,0.0,n
gause_1934_book,32,2,Paramecium caudatum,7.6,Didinium nasutum,0.0,n
gause_1934_book,32,3,Paramecium caudatum,15.2,Didinium nasutum,0.0,y
gause_1934_book,32,4,Paramecium caudatum,25.1,Didinium nasutum,4.8,n
gause_1934_book,32,5,Paramecium caudatum,55.4,Didinium nasutum,6.9,n
gause_1934_book,32,6,Paramecium caudatum,27.1,Didinium nasutum,31.0,y
gause_1934_book,32,7,Paramecium caudatum,9.6,Didinium nasutum,27.9,n
gause_1934_book,32,8,Paramecium caudatum,2.4,Didinium nasutum,15.8,n
gause_1934_book,32,9,Paramecium caudatum,0.5,Didinium nasutum,11.7,y
gause_1934_book,32,10,Paramecium caudatum,1.3,Didinium nasutum,4.1,n
gause_1934_book,32,11,Paramecium caudatum,5.3,Didinium nasutum,0.0,n
gause_1934_book,32,12,Paramecium caudatum,15.2,Didinium nasutum,0.0,y
gause_1934_book,32,13,Paramecium caudatum,27.5,Didinium nasutum,3.1,n
gause_1934_book,32,14,Paramecium caudatum,18.2,Didinium nasutum,28.6,n
gause_1934_book,32,15,Paramecium caudatum,0.0,Didinium nasutum,37.0,y
gause_1934_book,32,16,Paramecium caudatum,0.0,Didinium nasutum,18.6,n
gause_1934_book,32,17,Paramecium caudatum,0.0,Didinium nasutum,9.3,n
