Paper,Figure,Time,Species,Individuals
gause_1934_book,39.1,0,Schizosaccharomyces pombe,40.6
gause_1934_book,39.1,1,Schizosaccharomyces pombe,17.1
gause_1934_book,39.1,2,Schizosaccharomyces pombe,3.9
gause_1934_book,39.1,3,Schizosaccharomyces pombe,2.1
gause_1934_book,39.1,4,Schizosaccharomyces pombe,3.6
gause_1934_book,39.1,5,Schizosaccharomyces pombe,2.6
gause_1934_book,39.1,6,Schizosaccharomyces pombe,2.7
gause_1934_book,39.1,7,Schizosaccharomyces pombe,2.3
gause_1934_book,39.1,8,Schizosaccharomyces pombe,2.7
gause_1934_book,39.1,9,Schizosaccharomyces pombe,4.3
gause_1934_book,39.1,10,Schizosaccharomyces pombe,5.8
gause_1934_book,39.1,11,Schizosaccharomyces pombe,7.7
gause_1934_book,39.1,12,Schizosaccharomyces pombe,12.4
gause_1934_book,39.1,13,Schizosaccharomyces pombe,19.1
gause_1934_book,39.1,14,Schizosaccharomyces pombe,11.8
gause_1934_book,39.1,15,Schizosaccharomyces pombe,14.8
gause_1934_book,39.1,16,Schizosaccharomyces pombe,10.8
gause_1934_book,39.1,17,Schizosaccharomyces pombe,6.5
gause_1934_book,39.1,0,Paramecium bursaria,24.0
gause_1934_book,39.1,1,Paramecium bursaria,40.9
gause_1934_book,39.1,2,Paramecium bursaria,51.6
gause_1934_book,39.1,3,Paramecium bursaria,55.7
gause_1934_book,39.1,4,Paramecium bursaria,23.5
gause_1934_book,39.1,5,Paramecium bursaria,11.8
gause_1934_book,39.1,6,Paramecium bursaria,10.3
gause_1934_book,39.1,7,Paramecium bursaria,5.6
gause_1934_book,39.1,8,Paramecium bursaria,3.4
gause_1934_book,39.1,9,Paramecium bursaria,2.1
gause_1934_book,39.1,10,Paramecium bursaria,1.7
gause_1934_book,39.1,11,Paramecium bursaria,1.8
gause_1934_book,39.1,12,Paramecium bursaria,2.9
gause_1934_book,39.1,13,Paramecium bursaria,3.7
gause_1934_book,39.1,14,Paramecium bursaria,7.0
gause_1934_book,39.1,15,Paramecium bursaria,11.1
gause_1934_book,39.1,16,Paramecium bursaria,19.2
gause_1934_book,39.1,17,Paramecium bursaria,19.3
