Paper,Figure,Time,Species,Individuals,Treatment
Gause_1936_AnE,3.1,0,Aleuroglyphus agilis,51.8,
Gause_1936_AnE,3.1,8,Aleuroglyphus agilis,110.0,
Gause_1936_AnE,3.1,22,Aleuroglyphus agilis,198.0,
Gause_1936_AnE,3.1,36,Aleuroglyphus agilis,131.1,
Gause_1936_AnE,3.1,45,Aleuroglyphus agilis,26.4,
Gause_1936_AnE,3.1,50,Aleuroglyphus agilis,0.0,
Gause_1936_AnE,3.1,56,Aleuroglyphus agilis,0.0,
Gause_1936_AnE,3.1,63,Aleuroglyphus agilis,,Immigration
Gause_1936_AnE,3.1,66,Aleuroglyphus agilis,11.7,
Gause_1936_AnE,3.1,71,Aleuroglyphus agilis,60.0,
Gause_1936_AnE,3.1,80,Aleuroglyphus agilis,151.8,
Gause_1936_AnE,3.1,0,Cheyletus eruditus,3.9,
Gause_1936_AnE,3.1,8,Cheyletus eruditus,8.0,
Gause_1936_AnE,3.1,22,Cheyletus eruditus,7.7,
Gause_1936_AnE,3.1,36,Cheyletus eruditus,19.9,
Gause_1936_AnE,3.1,45,Cheyletus eruditus,23.6,
Gause_1936_AnE,3.1,50,Cheyletus eruditus,15.9,
Gause_1936_AnE,3.1,56,Cheyletus eruditus,1.9,
Gause_1936_AnE,3.1,63,Cheyletus eruditus,,
Gause_1936_AnE,3.1,66,Cheyletus eruditus,1.3,
Gause_1936_AnE,3.1,71,Cheyletus eruditus,3.7,
Gause_1936_AnE,3.1,80,Cheyletus eruditus,6.7,
