Paper,Figure,Time,Species,Individuals,Treatment
Gause_1936_AnE,3.3a,0,Aleuroglyphus agilis,2.4,Immigration
Gause_1936_AnE,3.3a,4,Aleuroglyphus agilis,2.35,Immigration
Gause_1936_AnE,3.3a,11,Aleuroglyphus agilis,1.2,Immigration
Gause_1936_AnE,3.3a,15,Aleuroglyphus agilis,,Immigration
Gause_1936_AnE,3.3a,20,Aleuroglyphus agilis,,Immigration
Gause_1936_AnE,3.3a,25,Aleuroglyphus agilis,,Immigration
Gause_1936_AnE,3.3a,27,Aleuroglyphus agilis,,Immigration
Gause_1936_AnE,3.3a,30,Aleuroglyphus agilis,,Immigration
Gause_1936_AnE,3.3a,35,Aleuroglyphus agilis,,Immigration
Gause_1936_AnE,3.3a,41,Aleuroglyphus agilis,,Immigration
Gause_1936_AnE,3.3a,45,Aleuroglyphus agilis,,Immigration
Gause_1936_AnE,3.3a,48,Aleuroglyphus agilis,,Immigration
Gause_1936_AnE,3.3a,0,Cheyletus eruditus,12.0,Immigration
Gause_1936_AnE,3.3a,4,Cheyletus eruditus,4.4,Immigration
Gause_1936_AnE,3.3a,11,Cheyletus eruditus,11.5,Immigration
Gause_1936_AnE,3.3a,15,Cheyletus eruditus,5.9,Immigration
Gause_1936_AnE,3.3a,20,Cheyletus eruditus,12.1,Immigration
Gause_1936_AnE,3.3a,25,Cheyletus eruditus,19.3,Immigration
Gause_1936_AnE,3.3a,27,Cheyletus eruditus,11.6,Immigration
Gause_1936_AnE,3.3a,30,Cheyletus eruditus,6.1,Immigration
Gause_1936_AnE,3.3a,35,Cheyletus eruditus,2.6,Immigration
Gause_1936_AnE,3.3a,41,Cheyletus eruditus,4.9,Immigration
Gause_1936_AnE,3.3a,45,Cheyletus eruditus,4.5,Immigration
Gause_1936_AnE,3.3a,48,Cheyletus eruditus,6.5,Immigration
