Paper,Table,Experiment,Time,Species,Individuals
Gause_1936_AmNat,3,1,1,Paramecium bursaria,2.0
Gause_1936_AmNat,3,1,2,Paramecium bursaria,3.0
Gause_1936_AmNat,3,1,3,Paramecium bursaria,2.0
Gause_1936_AmNat,3,1,4,Paramecium bursaria,3.0
Gause_1936_AmNat,3,1,5,Paramecium bursaria,6.5
Gause_1936_AmNat,3,1,6,Paramecium bursaria,0.0
Gause_1936_AmNat,3,1,7,Paramecium bursaria,0.0
Gause_1936_AmNat,3,1,1,Saccharomyces exiguus,5.0
Gause_1936_AmNat,3,1,2,Saccharomyces exiguus,7.0
Gause_1936_AmNat,3,1,3,Saccharomyces exiguus,10.5
Gause_1936_AmNat,3,1,4,Saccharomyces exiguus,13.0
Gause_1936_AmNat,3,1,5,Saccharomyces exiguus,14.5
Gause_1936_AmNat,3,1,6,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,1,7,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,2,1,Paramecium bursaria,2.0
Gause_1936_AmNat,3,2,2,Paramecium bursaria,2.5
Gause_1936_AmNat,3,2,3,Paramecium bursaria,6.5
Gause_1936_AmNat,3,2,4,Paramecium bursaria,11.0
Gause_1936_AmNat,3,2,5,Paramecium bursaria,0.0
Gause_1936_AmNat,3,2,6,Paramecium bursaria,0.0
Gause_1936_AmNat,3,2,7,Paramecium bursaria,0.0
Gause_1936_AmNat,3,2,1,Saccharomyces exiguus,17.0
Gause_1936_AmNat,3,2,2,Saccharomyces exiguus,18.0
Gause_1936_AmNat,3,2,3,Saccharomyces exiguus,20.0
Gause_1936_AmNat,3,2,4,Saccharomyces exiguus,16.5
Gause_1936_AmNat,3,2,5,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,2,6,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,2,7,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,3,1,Paramecium bursaria,2.8
Gause_1936_AmNat,3,3,2,Paramecium bursaria,6.0
Gause_1936_AmNat,3,3,3,Paramecium bursaria,15.0
Gause_1936_AmNat,3,3,4,Paramecium bursaria,24.0
Gause_1936_AmNat,3,3,5,Paramecium bursaria,0.0
Gause_1936_AmNat,3,3,6,Paramecium bursaria,0.0
Gause_1936_AmNat,3,3,7,Paramecium bursaria,0.0
Gause_1936_AmNat,3,3,1,Saccharomyces exiguus,33.0
Gause_1936_AmNat,3,3,2,Saccharomyces exiguus,32.0
Gause_1936_AmNat,3,3,3,Saccharomyces exiguus,26.0
Gause_1936_AmNat,3,3,4,Saccharomyces exiguus,15.0
Gause_1936_AmNat,3,3,5,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,3,6,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,3,7,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,4,1,Paramecium bursaria,5.0
Gause_1936_AmNat,3,4,2,Paramecium bursaria,7.0
Gause_1936_AmNat,3,4,3,Paramecium bursaria,14.0
Gause_1936_AmNat,3,4,4,Paramecium bursaria,
Gause_1936_AmNat,3,4,5,Paramecium bursaria,32.0
Gause_1936_AmNat,3,4,6,Paramecium bursaria,0.0
Gause_1936_AmNat,3,4,7,Paramecium bursaria,0.0
Gause_1936_AmNat,3,4,1,Saccharomyces exiguus,33.0
Gause_1936_AmNat,3,4,2,Saccharomyces exiguus,32.0
Gause_1936_AmNat,3,4,3,Saccharomyces exiguus,26.0
Gause_1936_AmNat,3,4,4,Saccharomyces exiguus,
Gause_1936_AmNat,3,4,5,Saccharomyces exiguus,15.0
Gause_1936_AmNat,3,4,6,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,4,7,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,5,1,Paramecium bursaria,4.0
Gause_1936_AmNat,3,5,2,Paramecium bursaria,5.0
Gause_1936_AmNat,3,5,3,Paramecium bursaria,6.0
Gause_1936_AmNat,3,5,4,Paramecium bursaria,
Gause_1936_AmNat,3,5,5,Paramecium bursaria,5.0
Gause_1936_AmNat,3,5,6,Paramecium bursaria,0.0
Gause_1936_AmNat,3,5,7,Paramecium bursaria,0.0
Gause_1936_AmNat,3,5,1,Saccharomyces exiguus,4.0
Gause_1936_AmNat,3,5,2,Saccharomyces exiguus,1.5
Gause_1936_AmNat,3,5,3,Saccharomyces exiguus,1.2
Gause_1936_AmNat,3,5,4,Saccharomyces exiguus,
Gause_1936_AmNat,3,5,5,Saccharomyces exiguus,0.8
Gause_1936_AmNat,3,5,6,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,5,7,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,6,1,Paramecium bursaria,5.5
Gause_1936_AmNat,3,6,2,Paramecium bursaria,9.2
Gause_1936_AmNat,3,6,3,Paramecium bursaria,6.5
Gause_1936_AmNat,3,6,4,Paramecium bursaria,0.0
Gause_1936_AmNat,3,6,5,Paramecium bursaria,0.0
Gause_1936_AmNat,3,6,6,Paramecium bursaria,0.0
Gause_1936_AmNat,3,6,7,Paramecium bursaria,0.0
Gause_1936_AmNat,3,6,1,Saccharomyces exiguus,3.0
Gause_1936_AmNat,3,6,2,Saccharomyces exiguus,1.5
Gause_1936_AmNat,3,6,3,Saccharomyces exiguus,1.0
Gause_1936_AmNat,3,6,4,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,6,5,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,6,6,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,6,7,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,7,1,Paramecium bursaria,11.0
Gause_1936_AmNat,3,7,2,Paramecium bursaria,15.5
Gause_1936_AmNat,3,7,3,Paramecium bursaria,19.0
Gause_1936_AmNat,3,7,4,Paramecium bursaria,16.0
Gause_1936_AmNat,3,7,5,Paramecium bursaria,14.5
Gause_1936_AmNat,3,7,6,Paramecium bursaria,0.0
Gause_1936_AmNat,3,7,7,Paramecium bursaria,0.0
Gause_1936_AmNat,3,7,1,Saccharomyces exiguus,14.5
Gause_1936_AmNat,3,7,2,Saccharomyces exiguus,4.5
Gause_1936_AmNat,3,7,3,Saccharomyces exiguus,3.1
Gause_1936_AmNat,3,7,4,Saccharomyces exiguus,2.5
Gause_1936_AmNat,3,7,5,Saccharomyces exiguus,1.0
Gause_1936_AmNat,3,7,6,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,7,7,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,8,1,Paramecium bursaria,9.5
Gause_1936_AmNat,3,8,2,Paramecium bursaria,13.5
Gause_1936_AmNat,3,8,3,Paramecium bursaria,20.0
Gause_1936_AmNat,3,8,4,Paramecium bursaria,22.5
Gause_1936_AmNat,3,8,5,Paramecium bursaria,16.0
Gause_1936_AmNat,3,8,6,Paramecium bursaria,0.0
Gause_1936_AmNat,3,8,7,Paramecium bursaria,0.0
Gause_1936_AmNat,3,8,1,Saccharomyces exiguus,9.5
Gause_1936_AmNat,3,8,2,Saccharomyces exiguus,7.0
Gause_1936_AmNat,3,8,3,Saccharomyces exiguus,3.2
Gause_1936_AmNat,3,8,4,Saccharomyces exiguus,1.5
Gause_1936_AmNat,3,8,5,Saccharomyces exiguus,1.5
Gause_1936_AmNat,3,8,6,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,8,7,Saccharomyces exiguus,0.0
Gause_1936_AmNat,3,9,1,Paramecium bursaria,8.8
Gause_1936_AmNat,3,9,2,Paramecium bursaria,13.0
Gause_1936_AmNat,3,9,3,Paramecium bursaria,16.0
Gause_1936_AmNat,3,9,4,Paramecium bursaria,13.5
Gause_1936_AmNat,3,9,5,Paramecium bursaria,13.0
Gause_1936_AmNat,3,9,6,Paramecium bursaria,9.0
Gause_1936_AmNat,3,9,7,Paramecium bursaria,8.0
Gause_1936_AmNat,3,9,1,Saccharomyces exiguus,7.0
Gause_1936_AmNat,3,9,2,Saccharomyces exiguus,4.0
Gause_1936_AmNat,3,9,3,Saccharomyces exiguus,2.5
Gause_1936_AmNat,3,9,4,Saccharomyces exiguus,0.8
Gause_1936_AmNat,3,9,5,Saccharomyces exiguus,1.0
Gause_1936_AmNat,3,9,6,Saccharomyces exiguus,1.5
Gause_1936_AmNat,3,9,7,Saccharomyces exiguus,1.0
