Paper,Figure,Species,Weeks,Individuals,Treatment
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),1,51.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),2,153.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),3,210.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),4,111.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),5,101.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),6,124.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),7,195.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),8,202.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),9,151.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),10,106.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),11,200.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),12,314.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),13,384.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),14,392.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),15,483.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),16,559.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),17,561.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),18,631.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),19,715.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),20,699.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),21,748.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),22,733.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),23,974.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),24,788.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),25,629.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),26,325.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),27,247.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),28,268.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),29,253.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),30,266.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),31,375.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),32,577.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),33,466.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),34,336.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),35,196.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),36,209.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),37,266.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),38,266.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),39,786.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),40,817.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),41,786.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),42,1251.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),43,905.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),44,594.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),45,383.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),46,277.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),47,274.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),48,124.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),49,173.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),50,316.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),51,352.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),52,607.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),53,726.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),54,558.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),55,498.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),56,360.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),57,246.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),58,77.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),59,119.0,60 weeks
Huffaker_1963,3b,Prey (Eotetranychus sexmaculatus),60,77.0,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),1,,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),2,,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),3,1.1500000000000001,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),4,2.4000000000000004,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),5,1.875,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),6,0.9,60 weeks
Huffaker_1963,3b,Predator (Typhlodromus occidentalis),7,2.45,60 weeks
